,ID,location_name,lat,long,location_name_Initial
9778,2363014,Bakpara,10.56667,-3.16667,B
9777,2363013,Bala,14.181939999999999,-0.1466,B
9776,2363012,Bala,10.11667,-2.91667,B
9775,2363011,Bala,11.499189999999999,-4.08253,B
9774,2363010,Balabéssanko,12.08333,-0.28333,B
10162,2570107,Balambalo,12.09597,-1.59083,B
9773,2363009,Balandagou,13.937529999999999,0.18253,B
9772,2363008,Balangaboingna,10.93333,0.55,B
9771,2363007,Balangadi,10.96667,0.55,B
10379,6786263,Balango,13.67049,-2.47335,B
9770,2363006,Balanti,10.36667,-3.33333,B
9769,2363005,Balao,11.85,-2.95,B
9768,2363004,Balavé,12.37588,-4.15681,B
9767,2363003,Balbara,10.56667,-2.95,B
7039,2360254,Balbo,12.97996,-1.12627,B
9766,2363002,Balbou,13.3276,-1.2729,B
11196,12238259,Balboudi,11.714960000000001,0.0811,B
9765,2363001,Balbouro,10.83333,-3.3833300000000004,B
9757,2362993,Balga,12.21568,0.19474,B
11280,12324472,Balgabé,12.954930000000001,0.72664,B
9756,2362992,Balingara,10.21667,-3.15,B
9755,2362991,Baliniar,10.8,-3.21667,B
9754,2362990,Balinséra,9.85,-3.01667,B
9753,2362989,Balkuy,12.29979,-1.45207,B
9752,2362988,Balmen,12.16667,-0.41667,B
9750,2362986,Balo,13.0,-2.33333,B
9751,2362987,Balo,12.5137,-1.9330900000000002,B
9749,2362985,Balogo,11.41667,-1.5333299999999999,B
9748,2362984,Baloko,11.15,-0.016669999999999997,B
9747,2362983,Balolé,12.295110000000001,-1.74945,B
10311,2570340,Balolé,12.29611,-1.7461099999999998,B
9744,2362980,Balongodouo,10.23333,-3.23333,B
10278,2570258,Balonguen,12.37128,-1.64431,B
9743,2362979,Balonguen,12.05,-0.2,B
9745,2362981,Balonguen,12.04733,-1.50185,B
10163,2570108,Balonguen,12.4333,-1.4369999999999998,B
9742,2362978,Balonza,13.53885,-2.58652,B
9741,2362977,Balopo,10.6,-3.23333,B
9740,2362976,Balourél,14.216029999999998,-1.52778,B
9760,2362996,Balèl,13.73066,-0.26002,B
9759,2362995,Balèmba,13.0678,0.00028,B
9758,2362994,Balèmyouré,12.1,-0.58333,B
9764,2363000,Balé,13.337710000000001,0.094,B
9762,2362998,Balé,13.69675,-0.62502,B
9763,2362999,Balé,13.37231,0.12435999999999998,B
9761,2362997,Balégogo,10.18333,-4.03333,B
9739,2362975,Bam,13.362929999999999,-1.51225,B
9347,2362578,Bam,13.567329999999998,-2.52063,B
9734,2362970,Bama,12.0357,-4.3987,B
9735,2362971,Bama,11.37865,-4.42175,B
